test_name,objective_value,best_found_time_sec,solution
sc_10000_2,167,49.979360917,"0 1 2 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 24 25 26 31 32 34 36 37 38 39 40 41 43 44 45 47 51 52 53 54 55 56 57 58 61 62 63 66 67 69 70 72 73 74 75 78 79 80 82 83 86 87 92 94 96 98 104 105 110 111 119 120 124 126 127 129 130 132 133 134 138 142 146 151 154 155 157 162 167 172 174 185 195 197 200 215 219 221 222 241 254 255 257 291 335 373 386 467"
sc_10000_5,64,10.6687915,"0 1 2 3 4 5 7 9 10 13 14 15 17 20 21 24 25 31 33 34 36 37 38 39 40 41 42 43 45 49 50 60 61 63 64 66 68 69 70 72 73 74 76 79 80 83 84 86 95 96 103 109 116 135 144 186"
sc_1000_11,146,52.319694042,"0 1 2 4 5 6 7 10 11 12 13 16 19 20 21 23 24 25 26 28 33 35 43 46 47 50 53 59 60 61 63 70 77 83 102 104"
sc_157_0,94400,0.432084375,"7 13 27 46 54 65 75 77 95 132 139 148"
sc_330_0,23,21.984919083,"27 33 35 37 39 50 93 97 139 141 147 148 150 170 231 237 239 277 283 286 292 316 322"
sc_5000_1,31,0.142795291,"0 2 3 4 6 7 11 12 15 16 17 18 19 20 22 26 28 33 39 44 50 60 70 79 83 88"
